route_key,mode,o_zone_id,d_zone_id,volume,total_distance_mile,total_distance_km,straight_line_distance_mile,straight_line_distance_km,distance_ratio,total_free_flow_travel_time,total_congestion_travel_time,google_maps_http_link,WKT_geometry
1_17_sov,sov,1,17,400,20,32.18,5.75947,9.26698,3.47254,20,47.1562,"https://www.google.com/maps/dir/43.612828,-96.770420/43.541280,-96.711382/","LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280)"
1_18_sov,sov,1,18,100,18,28.962,5.95395,9.57991,3.0232,18,35.1222,"https://www.google.com/maps/dir/43.612828,-96.770420/43.546744,-96.694078/","LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744)"
1_19_sov,sov,1,19,300,22,35.398,6.4676,10.4064,3.40157,22,54.5498,"https://www.google.com/maps/dir/43.612828,-96.770420/43.529591,-96.711316/","LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280,-96.711316 43.529591)"
1_20_sov,sov,1,20,300,22,35.398,7.3602,11.8426,2.98905,22,39.3959,"https://www.google.com/maps/dir/43.612828,-96.770420/43.515333,-96.711185/","LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744,-96.711185 43.515333)"
1_21_sov,sov,1,21,100,18,28.962,7.34183,11.813,2.4517,18,39.8181,"https://www.google.com/maps/dir/43.612828,-96.770420/43.510485,-96.730979/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.730979 43.510485)"
1_22_sov,sov,1,22,400,20,32.18,7.0476,11.3396,2.83785,20,44.17,"https://www.google.com/maps/dir/43.612828,-96.770420/43.514858,-96.731241/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.730979 43.510485,-96.731241 43.514858)"
1_23_sov,sov,1,23,300,17,27.353,6.83928,11.0044,2.48564,17,32.066,"https://www.google.com/maps/dir/43.612828,-96.770420/43.514858,-96.750904/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.750904 43.514858)"
1_24_sov,sov,1,24,100,15,24.135,7.65124,12.3108,1.96047,15,28.4037,"https://www.google.com/maps/dir/43.612828,-96.770420/43.503164,-96.749200/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164)"
2_1_sov,sov,2,1,100,6,9.654,2.99955,4.82627,2.0003,6,6.00091,"https://www.google.com/maps/dir/43.605813,-96.711251/43.612828,-96.770420/","LINESTRING(-96.711251 43.605813,-96.770420 43.612828)"
2_3_sov,sov,2,3,100,10,16.09,3.88704,6.25425,2.57265,10,10.0099,"https://www.google.com/maps/dir/43.605813,-96.711251/43.572962,-96.774303/","LINESTRING(-96.711251 43.605813,-96.770420 43.612828,-96.774303 43.572962)"
2_4_sov,sov,2,4,200,11,17.699,3.42299,5.50759,3.21357,11,18.5461,"https://www.google.com/maps/dir/43.605813,-96.711251/43.563654,-96.747168/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.731569 43.564034,-96.747168 43.563654)"
2_5_sov,sov,2,5,100,9,14.481,3.06059,4.92449,2.94061,9,16.1986,"https://www.google.com/maps/dir/43.605813,-96.711251/43.564034,-96.731569/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.731569 43.564034)"
2_6_sov,sov,2,6,400,5,8.045,1.25956,2.02664,3.96963,5,6.56475,"https://www.google.com/maps/dir/43.605813,-96.711251/43.587586,-96.711644/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586)"
2_7_sov,sov,2,7,200,10,16.09,3.034,4.88171,3.29598,10,27.0601,"https://www.google.com/maps/dir/43.605813,-96.711251/43.563844,-96.693423/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844)"
2_8_sov,sov,2,8,400,7,11.263,3.00485,4.83481,2.32956,7,21.4078,"https://www.google.com/maps/dir/43.605813,-96.711251/43.562324,-96.711382/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324)"
2_9_sov,sov,2,9,200,14,22.526,4.078,6.56151,3.43305,14,26.0059,"https://www.google.com/maps/dir/43.605813,-96.711251/43.548596,-96.731241/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.731569 43.564034,-96.731241 43.548596)"
2_10_sov,sov,2,10,600,16,25.744,4.30342,6.92421,3.71797,16,52.3468,"https://www.google.com/maps/dir/43.605813,-96.711251/43.545271,-96.731438/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.731438 43.545271)"
2_11_sov,sov,2,11,200,17,27.353,4.61925,7.43237,3.68025,17,26.0729,"https://www.google.com/maps/dir/43.605813,-96.711251/43.544131,-96.746841/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.731569 43.564034,-96.747168 43.563654,-96.746841 43.544131)"
2_12_sov,sov,2,12,100,14,22.526,5.49236,8.8372,2.549,14,14.0344,"https://www.google.com/maps/dir/43.605813,-96.711251/43.543941,-96.780137/","LINESTRING(-96.711251 43.605813,-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941)"
2_13_sov,sov,2,13,300,17,27.353,8.95362,14.4064,1.89867,17,17.0621,"https://www.google.com/maps/dir/43.605813,-96.711251/43.490707,-96.793377/","LINESTRING(-96.711251 43.605813,-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707)"
2_14_sov,sov,2,14,100,21,33.789,5.64895,9.08917,3.7175,21,40.619,"https://www.google.com/maps/dir/43.605813,-96.711251/43.529306,-96.751035/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.731569 43.564034,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306)"
2_15_sov,sov,2,15,100,19,30.571,5.37608,8.65012,3.53417,19,52.864,"https://www.google.com/maps/dir/43.605813,-96.711251/43.529401,-96.731504/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280,-96.711316 43.529591,-96.731504 43.529401)"
2_16_sov,sov,2,16,400,12,19.308,4.08135,6.56689,2.9402,12,31.9513,"https://www.google.com/maps/dir/43.605813,-96.711251/43.546744,-96.711382/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744)"
2_17_sov,sov,2,17,200,14,22.526,4.45885,7.17428,3.13983,14,41.1553,"https://www.google.com/maps/dir/43.605813,-96.711251/43.541280,-96.711382/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280)"
2_19_sov,sov,2,19,100,16,25.744,5.26647,8.47375,3.03809,16,48.5489,"https://www.google.com/maps/dir/43.605813,-96.711251/43.529591,-96.711316/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280,-96.711316 43.529591)"
2_20_sov,sov,2,20,100,16,25.744,6.2516,10.0588,2.55935,16,33.395,"https://www.google.com/maps/dir/43.605813,-96.711251/43.515333,-96.711185/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744,-96.711185 43.515333)"
2_22_sov,sov,2,22,100,21,33.789,6.36365,10.2391,3.29999,21,41.3214,"https://www.google.com/maps/dir/43.605813,-96.711251/43.514858,-96.731241/","LINESTRING(-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744,-96.711185 43.515333,-96.731241 43.514858)"
3_1_sov,sov,3,1,100,4,6.436,2.76137,4.44305,1.44855,4,4.00871,"https://www.google.com/maps/dir/43.572962,-96.774303/43.612828,-96.770420/","LINESTRING(-96.774303 43.572962,-96.770420 43.612828)"
3_2_sov,sov,3,2,100,10,16.09,3.88704,6.25425,2.57265,10,10.0096,"https://www.google.com/maps/dir/43.572962,-96.774303/43.605813,-96.711251/","LINESTRING(-96.774303 43.572962,-96.770420 43.612828,-96.711251 43.605813)"
3_4_sov,sov,3,4,200,4,6.436,1.50299,2.41831,2.66137,4,4.30358,"https://www.google.com/maps/dir/43.572962,-96.774303/43.563654,-96.747168/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654)"
3_5_sov,sov,3,5,100,6,9.654,2.22653,3.58249,2.69477,6,6.64516,"https://www.google.com/maps/dir/43.572962,-96.774303/43.564034,-96.731569/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034)"
3_6_sov,sov,3,6,300,10,16.09,3.29501,5.30167,3.03489,10,16.6443,"https://www.google.com/maps/dir/43.572962,-96.774303/43.587586,-96.711644/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586)"
3_7_sov,sov,3,7,100,15,24.135,4.09778,6.59334,3.66051,15,37.1396,"https://www.google.com/maps/dir/43.572962,-96.774303/43.563844,-96.693423/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844)"
3_8_sov,sov,3,8,200,12,19.308,3.23466,5.20456,3.70982,12,31.4873,"https://www.google.com/maps/dir/43.572962,-96.774303/43.562324,-96.711382/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324)"
3_9_sov,sov,3,9,100,11,17.699,2.73546,4.40135,4.02126,11,16.4524,"https://www.google.com/maps/dir/43.572962,-96.774303/43.548596,-96.731241/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596)"
3_10_sov,sov,3,10,300,14,22.526,2.87525,4.62628,4.86914,14,22.1483,"https://www.google.com/maps/dir/43.572962,-96.774303/43.545271,-96.731438/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271)"
3_11_sov,sov,3,11,300,10,16.09,2.42055,3.89467,4.13129,10,11.8303,"https://www.google.com/maps/dir/43.572962,-96.774303/43.544131,-96.746841/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131)"
3_12_sov,sov,3,12,200,4,6.436,2.02634,3.26038,1.97401,4,4.02451,"https://www.google.com/maps/dir/43.572962,-96.774303/43.543941,-96.780137/","LINESTRING(-96.774303 43.572962,-96.780137 43.543941)"
3_13_sov,sov,3,13,100,7,11.263,5.76304,9.27274,1.21464,7,7.05222,"https://www.google.com/maps/dir/43.572962,-96.774303/43.490707,-96.793377/","LINESTRING(-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707)"
3_14_sov,sov,3,14,100,14,22.526,3.23356,5.2028,4.32959,14,26.3765,"https://www.google.com/maps/dir/43.572962,-96.774303/43.529306,-96.751035/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306)"
3_15_sov,sov,3,15,100,19,30.571,3.6949,5.9451,5.14222,19,39.1102,"https://www.google.com/maps/dir/43.572962,-96.774303/43.529401,-96.731504/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306,-96.731504 43.529401)"
3_16_sov,sov,3,16,200,17,27.353,3.63413,5.84731,4.67787,17,42.0309,"https://www.google.com/maps/dir/43.572962,-96.774303/43.546744,-96.711382/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744)"
3_17_sov,sov,3,17,100,19,30.571,3.8364,6.17277,4.95256,19,51.2348,"https://www.google.com/maps/dir/43.572962,-96.774303/43.541280,-96.711382/","LINESTRING(-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280)"
3_22_sov,sov,3,22,100,16,25.744,4.55722,7.33256,3.51092,16,40.161,"https://www.google.com/maps/dir/43.572962,-96.774303/43.514858,-96.731241/","LINESTRING(-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.730979 43.510485,-96.731241 43.514858)"
3_23_sov,sov,3,23,100,13,20.917,4.18215,6.72907,3.10845,13,28.0571,"https://www.google.com/maps/dir/43.572962,-96.774303/43.514858,-96.750904/","LINESTRING(-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.750904 43.514858)"
4_1_sov,sov,4,1,500,8,12.872,3.59139,5.77855,2.22755,8,8.31192,"https://www.google.com/maps/dir/43.563654,-96.747168/43.612828,-96.770420/","LINESTRING(-96.747168 43.563654,-96.774303 43.572962,-96.770420 43.612828)"
4_2_sov,sov,4,2,200,11,17.699,3.42299,5.50759,3.21357,11,18.9744,"https://www.google.com/maps/dir/43.563654,-96.747168/43.605813,-96.711251/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711251 43.605813)"
4_3_sov,sov,4,3,200,4,6.436,1.50299,2.41831,2.66137,4,4.30321,"https://www.google.com/maps/dir/43.563654,-96.747168/43.572962,-96.774303/","LINESTRING(-96.747168 43.563654,-96.774303 43.572962)"
4_5_sov,sov,4,5,500,2,3.218,0.781439,1.25733,2.55938,2,2.34159,"https://www.google.com/maps/dir/43.563654,-96.747168/43.564034,-96.731569/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034)"
4_6_sov,sov,4,6,400,6,9.654,2.42824,3.90703,2.47093,6,12.3407,"https://www.google.com/maps/dir/43.563654,-96.747168/43.587586,-96.711644/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586)"
4_7_sov,sov,4,7,400,11,17.699,2.69087,4.32961,4.0879,11,32.836,"https://www.google.com/maps/dir/43.563654,-96.747168/43.563844,-96.693423/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844)"
4_8_sov,sov,4,8,700,8,12.872,1.79408,2.88667,4.45911,8,27.1838,"https://www.google.com/maps/dir/43.563654,-96.747168/43.562324,-96.711382/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324)"
4_9_sov,sov,4,9,700,7,11.263,1.31087,2.10919,5.33996,7,12.1488,"https://www.google.com/maps/dir/43.563654,-96.747168/43.548596,-96.731241/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596)"
4_10_sov,sov,4,10,1200,10,16.09,1.49456,2.40474,6.69095,10,17.8447,"https://www.google.com/maps/dir/43.563654,-96.747168/43.545271,-96.731438/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271)"
4_11_sov,sov,4,11,1400,6,9.654,1.34902,2.17057,4.44767,6,7.52675,"https://www.google.com/maps/dir/43.563654,-96.747168/43.544131,-96.746841/","LINESTRING(-96.747168 43.563654,-96.746841 43.544131)"
4_12_sov,sov,4,12,600,8,12.872,2.14022,3.44362,3.73793,8,8.32772,"https://www.google.com/maps/dir/43.563654,-96.747168/43.543941,-96.780137/","LINESTRING(-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941)"
4_13_sov,sov,4,13,600,11,17.699,5.54634,8.92406,1.98329,11,11.3554,"https://www.google.com/maps/dir/43.563654,-96.747168/43.490707,-96.793377/","LINESTRING(-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707)"
4_14_sov,sov,4,14,500,10,16.09,2.3811,3.83119,4.19974,10,22.0729,"https://www.google.com/maps/dir/43.563654,-96.747168/43.529306,-96.751035/","LINESTRING(-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306)"
4_15_sov,sov,4,15,500,15,24.135,2.49328,4.01169,6.01617,15,34.8066,"https://www.google.com/maps/dir/43.563654,-96.747168/43.529401,-96.731504/","LINESTRING(-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306,-96.731504 43.529401)"
4_16_sov,sov,4,16,800,13,20.917,2.13921,3.44199,6.07701,13,37.7273,"https://www.google.com/maps/dir/43.563654,-96.747168/43.546744,-96.711382/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744)"
4_17_sov,sov,4,17,500,15,24.135,2.36667,3.80798,6.33801,15,46.9312,"https://www.google.com/maps/dir/43.563654,-96.747168/43.541280,-96.711382/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280)"
4_18_sov,sov,4,18,100,13,20.917,2.90382,4.67225,4.47686,13,34.8973,"https://www.google.com/maps/dir/43.563654,-96.747168/43.546744,-96.694078/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744)"
4_19_sov,sov,4,19,200,17,27.353,2.9602,4.76297,5.74285,17,54.3249,"https://www.google.com/maps/dir/43.563654,-96.747168/43.529591,-96.711316/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280,-96.711316 43.529591)"
4_20_sov,sov,4,20,300,17,27.353,3.79403,6.1046,4.48072,17,39.171,"https://www.google.com/maps/dir/43.563654,-96.747168/43.515333,-96.711185/","LINESTRING(-96.747168 43.563654,-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844,-96.694078 43.546744,-96.711185 43.515333)"
4_21_sov,sov,4,21,200,18,28.962,3.76206,6.05316,4.78461,18,40.1123,"https://www.google.com/maps/dir/43.563654,-96.747168/43.510485,-96.730979/","LINESTRING(-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164,-96.730979 43.510485)"
4_22_sov,sov,4,22,400,18,28.962,3.46457,5.57449,5.19545,18,43.6782,"https://www.google.com/maps/dir/43.563654,-96.747168/43.514858,-96.731241/","LINESTRING(-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306,-96.731504 43.529401,-96.731241 43.514858)"
4_23_sov,sov,4,23,500,14,22.526,3.37667,5.43305,4.1461,14,31.0732,"https://www.google.com/maps/dir/43.563654,-96.747168/43.514858,-96.750904/","LINESTRING(-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306,-96.750904 43.514858)"
4_24_sov,sov,4,24,200,15,24.135,4.1807,6.72675,3.58792,15,28.6979,"https://www.google.com/maps/dir/43.563654,-96.747168/43.503164,-96.749200/","LINESTRING(-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707,-96.749200 43.503164)"
5_1_sov,sov,5,1,200,10,16.09,3.89187,6.26202,2.56946,10,10.6594,"https://www.google.com/maps/dir/43.564034,-96.731569/43.612828,-96.770420/","LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.774303 43.572962,-96.770420 43.612828)"
5_2_sov,sov,5,2,100,9,14.481,3.06059,4.92449,2.94061,9,16.6328,"https://www.google.com/maps/dir/43.564034,-96.731569/43.605813,-96.711251/","LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711251 43.605813)"
5_3_sov,sov,5,3,100,6,9.654,2.22653,3.58249,2.69477,6,6.65069,"https://www.google.com/maps/dir/43.564034,-96.731569/43.572962,-96.774303/","LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.774303 43.572962)"
5_4_sov,sov,5,4,500,2,3.218,0.781439,1.25733,2.55938,2,2.34748,"https://www.google.com/maps/dir/43.564034,-96.731569/43.563654,-96.747168/","LINESTRING(-96.731569 43.564034,-96.747168 43.563654)"
5_6_sov,sov,5,6,200,4,6.436,1.90863,3.07099,2.09574,4,9.99912,"https://www.google.com/maps/dir/43.564034,-96.731569/43.587586,-96.711644/","LINESTRING(-96.731569 43.564034,-96.711644 43.587586)"
5_7_sov,sov,5,7,200,9,14.481,1.90988,3.07299,4.71235,9,30.4945,"https://www.google.com/maps/dir/43.564034,-96.731569/43.563844,-96.693423/","LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844)"
5_8_sov,sov,5,8,500,6,9.654,1.01759,1.63731,5.89626,6,24.8422,"https://www.google.com/maps/dir/43.564034,-96.731569/43.562324,-96.711382/","LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324)"
5_9_sov,sov,5,9,800,5,8.045,1.06675,1.7164,4.68714,5,9.80721,"https://www.google.com/maps/dir/43.564034,-96.731569/43.548596,-96.731241/","LINESTRING(-96.731569 43.564034,-96.731241 43.548596)"
5_10_sov,sov,5,10,1000,8,12.872,1.29641,2.08592,6.1709,8,15.5032,"https://www.google.com/maps/dir/43.564034,-96.731569/43.545271,-96.731438/","LINESTRING(-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271)"
5_11_sov,sov,5,11,500,8,12.872,1.57349,2.53175,5.08422,8,9.87423,"https://www.google.com/maps/dir/43.564034,-96.731569/43.544131,-96.746841/","LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.746841 43.544131)"
5_12_sov,sov,5,12,200,10,16.09,2.80035,4.50576,3.57098,10,10.6752,"https://www.google.com/maps/dir/43.564034,-96.731569/43.543941,-96.780137/","LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941)"
5_13_sov,sov,5,13,200,13,20.917,5.93766,9.5537,2.18941,13,13.7029,"https://www.google.com/maps/dir/43.564034,-96.731569/43.490707,-96.793377/","LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707)"
5_14_sov,sov,5,14,100,12,19.308,2.58994,4.16722,4.6333,12,24.4204,"https://www.google.com/maps/dir/43.564034,-96.731569/43.529306,-96.751035/","LINESTRING(-96.731569 43.564034,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306)"
5_15_sov,sov,5,15,200,14,22.526,2.3929,3.85017,5.85065,14,29.0155,"https://www.google.com/maps/dir/43.564034,-96.731569/43.529401,-96.731504/","LINESTRING(-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271,-96.731504 43.529401)"
5_16_sov,sov,5,16,500,11,17.699,1.56491,2.51795,7.02914,11,35.3857,"https://www.google.com/maps/dir/43.564034,-96.731569/43.546744,-96.711382/","LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744)"
5_17_sov,sov,5,17,200,13,20.917,1.86909,3.00736,6.95526,13,44.5897,"https://www.google.com/maps/dir/43.564034,-96.731569/43.541280,-96.711382/","LINESTRING(-96.731569 43.564034,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744,-96.711382 43.541280)"
